question,option_1,option_2,option_3,option_4,correct_answer,niveau
En quelle année a eu lieu la Révolution française ?,1789,1792,1804,1776,1789,4
En quelle année a eu lieu la Révolution française ?,1776,1792,1789,1804,1789,7
Qui a été le premier président de la République française ?,Napoléon Bonaparte,Jacques Chirac,Louis-Napoléon Bonaparte,Charles de Gaulle,Louis-Napoléon Bonaparte,6
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre de Cent Ans,Guerre froide,Guerre civile anglaise,Guerre de Sécession,Guerre de Sécession,4
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Berlin,Mur de Vienne,Mur de Varsovie,Mur de Moscou,Mur de Berlin,7
Qui a découvert l'Amérique en 1492 ?,Christophe Colomb,Amerigo Vespucci,Vasco de Gama,Fernand de Magellan,Christophe Colomb,5
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Vienne,Mur de Moscou,Mur de Berlin,Mur de Varsovie,Mur de Berlin,7
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Benito Mussolini,Joseph Staline,Adolf Hitler,Winston Churchill,Adolf Hitler,1
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Benito Mussolini,Winston Churchill,Adolf Hitler,Joseph Staline,Adolf Hitler,3
Quel pays a colonisé le Cameroun après l'Allemagne ?,Espagne,Belgique,Portugal,France,France,3
Qui a découvert l'Amérique en 1492 ?,Vasco de Gama,Fernand de Magellan,Amerigo Vespucci,Christophe Colomb,Christophe Colomb,6
En quelle année a eu lieu la Révolution française ?,1776,1792,1804,1789,1789,7
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre civile anglaise,Guerre froide,Guerre de Cent Ans,Guerre de Sécession,Guerre de Sécession,7
Quel pays a colonisé le Cameroun après l'Allemagne ?,France,Portugal,Espagne,Belgique,France,5
En quelle année a eu lieu la Révolution française ?,1776,1804,1792,1789,1789,4
Quel pays a colonisé le Cameroun après l'Allemagne ?,Espagne,Belgique,Portugal,France,France,5
Qui a découvert l'Amérique en 1492 ?,Fernand de Magellan,Christophe Colomb,Vasco de Gama,Amerigo Vespucci,Christophe Colomb,6
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Varsovie,Mur de Moscou,Mur de Berlin,Mur de Vienne,Mur de Berlin,7
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre froide,Guerre de Cent Ans,Guerre de Sécession,Guerre civile anglaise,Guerre de Sécession,4
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Berlin,Mur de Vienne,Mur de Moscou,Mur de Varsovie,Mur de Berlin,1
En quelle année a eu lieu la Révolution française ?,1789,1776,1792,1804,1789,2
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre civile anglaise,Guerre froide,Guerre de Cent Ans,Guerre de Sécession,Guerre de Sécession,1
Qui a été le premier président de la République française ?,Jacques Chirac,Napoléon Bonaparte,Charles de Gaulle,Louis-Napoléon Bonaparte,Louis-Napoléon Bonaparte,5
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Berlin,Mur de Varsovie,Mur de Vienne,Mur de Moscou,Mur de Berlin,7
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Joseph Staline,Winston Churchill,Benito Mussolini,Adolf Hitler,Adolf Hitler,1
Quel pays a colonisé le Cameroun après l'Allemagne ?,France,Belgique,Portugal,Espagne,France,6
En quelle année a eu lieu la Révolution française ?,1789,1804,1776,1792,1789,7
Qui a été le premier président de la République française ?,Charles de Gaulle,Jacques Chirac,Louis-Napoléon Bonaparte,Napoléon Bonaparte,Louis-Napoléon Bonaparte,7
Quelle civilisation a construit les pyramides ?,Romaine,Maya,Grecque,Égyptienne,Égyptienne,5
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Varsovie,Mur de Berlin,Mur de Moscou,Mur de Vienne,Mur de Berlin,7
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre de Cent Ans,Guerre froide,Guerre civile anglaise,Guerre de Sécession,Guerre de Sécession,1
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Benito Mussolini,Joseph Staline,Winston Churchill,Adolf Hitler,Adolf Hitler,2
En quelle année a eu lieu la Révolution française ?,1776,1792,1804,1789,1789,4
